time,X,Y,Z,Vx,Vy,Vz
2.999248,209.587874,968.242099,-407.556310,-37.261155,-19.354655,71.626418
3.009246,209.215795,968.048338,-406.841067,-37.173418,-19.407239,71.458284
3.019243,208.844591,967.854052,-406.127501,-37.086078,-19.459801,71.290911
3.029241,208.474259,967.659240,-405.415605,-36.999134,-19.512340,71.124298
3.039238,208.104794,967.463903,-404.705371,-36.912583,-19.564857,70.958439
3.049236,207.736191,967.268042,-403.996791,-36.826424,-19.617353,70.793331
3.059233,207.368449,967.071655,-403.289857,-36.740654,-19.669828,70.628970
3.069231,207.001561,966.874744,-402.584563,-36.655272,-19.722282,70.465351
3.079228,206.635526,966.677308,-401.880901,-36.570274,-19.774715,70.302472
3.089226,206.270338,966.479349,-401.178863,-36.485660,-19.827129,70.140327
3.099223,205.905993,966.280865,-400.478442,-36.401427,-19.879524,69.978913
3.109221,205.542490,966.081857,-399.779632,-36.317574,-19.931899,69.818227
3.119218,205.179822,965.882327,-399.082424,-36.234097,-19.984256,69.658264
3.129216,204.817987,965.682272,-398.386812,-36.150996,-20.036595,69.499021
3.139213,204.456981,965.481695,-397.692788,-36.068268,-20.088917,69.340494
3.149211,204.096801,965.280595,-397.000346,-35.985912,-20.141221,69.182678
3.159208,203.737442,965.078971,-396.309478,-35.903924,-20.193509,69.025572
3.169206,203.378901,964.876826,-395.620177,-35.822305,-20.245779,68.869169
3.179203,203.021174,964.674157,-394.932437,-35.741050,-20.298034,68.713468
3.189201,202.664258,964.470967,-394.246250,-35.660154,-20.350271,68.558454
3.199198,202.308149,964.267254,-393.561611,-35.579604,-20.402483,68.404103
3.209196,201.952844,964.063020,-392.878511,-35.499394,-20.454668,68.250405
3.219193,201.598340,963.858265,-392.196945,-35.419518,-20.506825,68.097345
3.229191,201.244632,963.652988,-391.516907,-35.339968,-20.558951,67.944913
3.239188,200.891718,963.447189,-390.838388,-35.260738,-20.611044,67.793094
3.249186,200.539593,963.240870,-390.161384,-35.181823,-20.663100,67.641877
3.259183,200.188256,963.034031,-389.485887,-35.103227,-20.715126,67.491272
3.269181,199.837703,962.826672,-388.811893,-35.024950,-20.767121,67.341281
3.279178,199.487931,962.618792,-388.139395,-34.946992,-20.819087,67.191901
3.289176,199.138936,962.410394,-387.468387,-34.869353,-20.871025,67.043131
3.299173,198.790716,962.201476,-386.798864,-34.792032,-20.922936,66.894972
3.309171,198.443268,961.992039,-386.130819,-34.715031,-20.974822,66.747424
3.319168,198.096588,961.782084,-385.464247,-34.638345,-21.026682,66.600484
3.329166,197.750673,961.571611,-384.799141,-34.561972,-21.078515,66.454142
3.339163,197.405521,961.360620,-384.135496,-34.485911,-21.130322,66.308397
3.349161,197.061127,961.149111,-383.473304,-34.410158,-21.182104,66.163245
3.359158,196.717489,960.937084,-382.812561,-34.334714,-21.233860,66.018684
3.369156,196.374604,960.724540,-382.153259,-34.259577,-21.285591,65.874711
3.379153,196.032468,960.511479,-381.495395,-34.184745,-21.337297,65.731324
3.389151,195.691079,960.297901,-380.838960,-34.110216,-21.388979,65.588519
3.399148,195.350434,960.083807,-380.183951,-34.035990,-21.440637,65.446293
3.409146,195.010529,959.869196,-379.530361,-33.962064,-21.492272,65.304643
3.419143,194.671362,959.654069,-378.878183,-33.888437,-21.543883,65.163566
3.429141,194.332929,959.438426,-378.227414,-33.815108,-21.595471,65.023060
3.439138,193.995228,959.222268,-377.578046,-33.742075,-21.647036,64.883122
3.449136,193.658255,959.005594,-376.930074,-33.669337,-21.698578,64.743749
3.459133,193.322008,958.788405,-376.283492,-33.596891,-21.750099,64.604938
3.469131,192.986484,958.570701,-375.638296,-33.524738,-21.801598,64.466686
3.479128,192.651680,958.352482,-374.994479,-33.452875,-21.853075,64.328991
3.489126,192.317593,958.133749,-374.352036,-33.381301,-21.904532,64.191850
3.499123,191.984220,957.914501,-373.710961,-33.310014,-21.955967,64.055259
3.509121,191.651559,957.694739,-373.071250,-33.239013,-22.007382,63.919218
3.519118,191.319606,957.474464,-372.432896,-33.168297,-22.058777,63.783722
3.529116,190.988358,957.253674,-371.795894,-33.097864,-22.110151,63.648768
3.539113,190.657814,957.032372,-371.160238,-33.027713,-22.161506,63.514356
3.549111,190.327969,956.810556,-370.525924,-32.957842,-22.212842,63.380480
3.559108,189.998821,956.588226,-369.892945,-32.888251,-22.264159,63.247140
3.569106,189.670368,956.365384,-369.261297,-32.818936,-22.315456,63.114331
3.579103,189.342607,956.142030,-368.630974,-32.749898,-22.366735,62.982052
3.589101,189.015534,955.918162,-368.001970,-32.681135,-22.417996,62.850300
3.599098,188.689147,955.693782,-367.374282,-32.612645,-22.469239,62.719072
3.609096,188.363444,955.468890,-366.747902,-32.544427,-22.520464,62.588365
3.619093,188.038421,955.243486,-366.122827,-32.476480,-22.571672,62.458178
3.629091,187.714076,955.017570,-365.499051,-32.408802,-22.622863,62.328507
